pair,source,target,ransac_fitness,ransac_rmse,initial_fitness_icp,initial_rmse_icp,final_fitness,final_rmse
13-14,pointcloud_0056.pcd,pointcloud_0052.pcd,0.9221490116573745,0.023189105968770617,0.9221490116573745,0.023189105968770617,0.927318803852002,0.019400299123494617
14-15,pointcloud_0060.pcd,pointcloud_0056.pcd,0.9207174156730867,0.021813538422208907,0.9207174156730867,0.021813538422208907,0.9177621522470193,0.01998459524071316
15-16,pointcloud_0064.pcd,pointcloud_0060.pcd,0.9166922525841776,0.0233404565786887,0.9166922525841776,0.0233404565786887,0.9255961518780064,0.01927661751847584
16-17,pointcloud_0068.pcd,pointcloud_0064.pcd,0.877162273476112,0.030310323145675538,0.877162273476112,0.030310323145675538,0.9317339373970346,0.019186591504035403
17-18,pointcloud_0072.pcd,pointcloud_0068.pcd,0.34814363968350576,0.028972395679597432,0.34814363968350576,0.028972395679597432,0.9266585514303104,0.019323644591523113
18-19,pointcloud_0076.pcd,pointcloud_0072.pcd,0.9270390609188424,0.020122951408354604,0.9270390609188424,0.020122951408354604,0.9288605545436146,0.019501701593876215
19-20,pointcloud_0080.pcd,pointcloud_0076.pcd,0.8605569620253165,0.031003083212966243,0.8605569620253165,0.031003083212966243,0.9350886075949367,0.019563168466155682
20-21,pointcloud_0084.pcd,pointcloud_0080.pcd,0.9203223831871047,0.027172154661459568,0.9203223831871047,0.027172154661459568,0.9301163027953478,0.019433300111621393
21-22,pointcloud_0088.pcd,pointcloud_0084.pcd,0.9327226463104326,0.020759014469749634,0.9327226463104326,0.020759014469749634,0.9369974554707379,0.018909833412094644
22-23,pointcloud_0092.pcd,pointcloud_0088.pcd,0.9264193482270957,0.022956737978908154,0.9264193482270957,0.022956737978908154,0.9331830293092847,0.01901368733945291
23-24,pointcloud_0096.pcd,pointcloud_0092.pcd,0.9420408163265306,0.019695991392755508,0.9420408163265306,0.019695991392755508,0.9431632653061225,0.019230756977954018
24-25,pointcloud_0100.pcd,pointcloud_0096.pcd,0.9240480553858684,0.021336489757263117,0.9240480553858684,0.021336489757263113,0.9272042353899409,0.01960808598575509
25-26,pointcloud_0104.pcd,pointcloud_0100.pcd,0.9330158086745034,0.024691527112647778,0.9330158086745034,0.024691527112647778,0.9440616132955006,0.01946024972954426
26-27,pointcloud_0108.pcd,pointcloud_0104.pcd,0.9049883638571284,0.022852668278119236,0.9049883638571284,0.022852668278119232,0.9302843266214712,0.01983546741672661
27-28,pointcloud_0112.pcd,pointcloud_0108.pcd,0.9332854356974238,0.02292706822479506,0.9332854356974238,0.02292706822479506,0.9438571281946012,0.01976856097552771
28-29,pointcloud_0116.pcd,pointcloud_0112.pcd,0.9133136396047672,0.022307290097071324,0.9133136396047672,0.022307290097071324,0.9162676988896812,0.02016399547104324
29-30,pointcloud_0120.pcd,pointcloud_0116.pcd,0.9457831325301205,0.021012054366804787,0.9457831325301205,0.021012054366804787,0.9487441290586073,0.01960326668640256
30-31,pointcloud_0124.pcd,pointcloud_0120.pcd,0.9258993543097264,0.020813679308868252,0.9258993543097264,0.020813679308868252,0.9291790509377883,0.018823618218932553
31-32,pointcloud_0128.pcd,pointcloud_0124.pcd,0.9389195825659914,0.021085076229406956,0.9389195825659914,0.021085076229406956,0.9454675670145284,0.018999037819910653
32-33,pointcloud_0132.pcd,pointcloud_0128.pcd,0.9276208026208026,0.019448567875923382,0.9276208026208026,0.019448567875923382,0.9277231777231777,0.01865169030076576
33-34,pointcloud_0136.pcd,pointcloud_0132.pcd,0.9476547264702864,0.019554670458648282,0.9476547264702864,0.019554670458648282,0.9488863799651032,0.019014668252021437
34-35,pointcloud_0140.pcd,pointcloud_0136.pcd,0.9268193384223918,0.020706242560893477,0.9268193384223918,0.020706242560893477,0.9292620865139949,0.01948196203795438
35-36,pointcloud_0144.pcd,pointcloud_0140.pcd,0.9332929047907823,0.02074299062861287,0.9332929047907823,0.02074299062861287,0.9372346876895088,0.01974991780573954
36-37,pointcloud_0148.pcd,pointcloud_0144.pcd,0.93397090243158,0.021442755157565378,0.93397090243158,0.021442755157565378,0.9295960931936107,0.019555141463566225
37-38,pointcloud_0152.pcd,pointcloud_0148.pcd,0.9401118454499238,0.019990417047420724,0.9401118454499238,0.019990417047420724,0.940620233858668,0.019511647252671693
38-39,pointcloud_0156.pcd,pointcloud_0152.pcd,0.939865003068112,0.01983655455435248,0.939865003068112,0.019836554554352476,0.9404786254857844,0.01950131486105737
39-40,pointcloud_0160.pcd,pointcloud_0156.pcd,0.9244952616398846,0.027854613954223215,0.9244952616398846,0.027854613954223215,0.9521013597033374,0.018973172867560378
40-41,pointcloud_0164.pcd,pointcloud_0160.pcd,0.9465366854797332,0.020697113746690782,0.9465366854797332,0.020697113746690782,0.9465366854797332,0.019388071921104866
41-42,pointcloud_0168.pcd,pointcloud_0164.pcd,0.9568807339449541,0.019653091612589376,0.9568807339449541,0.019653091612589373,0.9569826707441387,0.018670719139164398
42-43,pointcloud_0172.pcd,pointcloud_0168.pcd,0.9373658935322366,0.023434177925510707,0.9373658935322366,0.023434177925510707,0.9484009400224788,0.01891745868734219
