pair,source,target,ransac_fitness,ransac_rmse,initial_fitness_icp,initial_rmse_icp,final_fitness,final_rmse
20-21,pointcloud_0084.pcd,pointcloud_0080.pcd,0.9264435829422567,0.02248126161117947,0.9264435829422567,0.02248126161117947,0.9301163027953478,0.019435931369481664
21-22,pointcloud_0088.pcd,pointcloud_0084.pcd,0.9362849872773537,0.01976636349594998,0.9362849872773537,0.019766363495949978,0.9369974554707379,0.018909833332007873
22-23,pointcloud_0092.pcd,pointcloud_0088.pcd,0.9291863086698093,0.02239095944603222,0.9291863086698093,0.02239095944603222,0.9330805492928879,0.019007575622062504
23-24,pointcloud_0096.pcd,pointcloud_0092.pcd,0.9426530612244898,0.019673267155027267,0.9426530612244898,0.019673267155027267,0.943265306122449,0.019237687057759478
24-25,pointcloud_0100.pcd,pointcloud_0096.pcd,0.9211973121563837,0.022220685567228768,0.9211973121563837,0.022220685567228768,0.9272042353899409,0.01960705792953925
25-26,pointcloud_0104.pcd,pointcloud_0100.pcd,0.944162950952574,0.019976191737987183,0.944162950952574,0.019976191737987183,0.9440616132955006,0.01946042676360042
26-27,pointcloud_0108.pcd,pointcloud_0104.pcd,0.9272488110897501,0.02181636410043448,0.9272488110897501,0.021816364100434478,0.9302843266214712,0.019835672232344705
27-28,pointcloud_0112.pcd,pointcloud_0108.pcd,0.945088781689418,0.020374309399866678,0.945088781689418,0.020374309399866678,0.9438571281946012,0.019768596757865752
28-29,pointcloud_0116.pcd,pointcloud_0112.pcd,0.9142304166242233,0.02103267496839613,0.9142304166242233,0.02103267496839613,0.9162676988896812,0.020163995471030104
29-30,pointcloud_0120.pcd,pointcloud_0116.pcd,0.9478251991014907,0.019719196719186507,0.9478251991014907,0.019719196719186507,0.9486420257300388,0.019597110021017057
30-31,pointcloud_0124.pcd,pointcloud_0120.pcd,0.9282566362611459,0.020517685657055973,0.9282566362611459,0.020517685657055973,0.9291790509377883,0.01882437881978574
31-32,pointcloud_0128.pcd,pointcloud_0124.pcd,0.9436259463883774,0.019641200768540788,0.9436259463883774,0.019641200768540788,0.9455698792715367,0.019005018121478517
32-33,pointcloud_0132.pcd,pointcloud_0128.pcd,0.9281326781326781,0.020013619417880976,0.9281326781326781,0.020013619417880976,0.9277231777231777,0.018651699325467928
33-34,pointcloud_0136.pcd,pointcloud_0132.pcd,0.9464230729754696,0.019367717255840543,0.9464230729754696,0.01936771725584054,0.9488863799651032,0.019014668254105246
34-35,pointcloud_0140.pcd,pointcloud_0136.pcd,0.9269211195928753,0.021028147116023625,0.9269211195928753,0.021028147116023622,0.9292620865139949,0.019481962056267572
35-36,pointcloud_0144.pcd,pointcloud_0140.pcd,0.9383464726096624,0.023121623326423722,0.9383464726096624,0.023121623326423722,0.9372346876895088,0.019749996504111376
36-37,pointcloud_0148.pcd,pointcloud_0144.pcd,0.9316308881880151,0.022470473593148414,0.9316308881880151,0.022470473593148414,0.9295960931936107,0.019555075919939647
37-38,pointcloud_0152.pcd,pointcloud_0148.pcd,0.9344178952719878,0.022330361210574922,0.9344178952719878,0.022330361210574922,0.9405185561769192,0.01950524904955675
38-39,pointcloud_0156.pcd,pointcloud_0152.pcd,0.9385354878298221,0.021285701087487317,0.9385354878298221,0.021285701087487317,0.9405808958887298,0.019505807682480378
39-40,pointcloud_0160.pcd,pointcloud_0156.pcd,0.9517923362175525,0.019985077467863856,0.9517923362175525,0.019985077467863856,0.9521013597033374,0.018973021087632026
40-41,pointcloud_0164.pcd,pointcloud_0160.pcd,0.9431503335043612,0.020292623722560788,0.9431503335043612,0.020292623722560788,0.9464340687532068,0.019382024506698438
41-42,pointcloud_0168.pcd,pointcloud_0164.pcd,0.9545361875637105,0.020852571918061676,0.9545361875637105,0.020852571918061676,0.9569826707441387,0.018670760665945436
42-43,pointcloud_0172.pcd,pointcloud_0168.pcd,0.9437008276284867,0.025874438780513435,0.9437008276284867,0.025874438780513435,0.9484009400224788,0.01891650837034573
43-44,pointcloud_0176.pcd,pointcloud_0172.pcd,0.9495573399217624,0.021089191975686924,0.9495573399217624,0.021089191975686924,0.948733786287832,0.019500298767573455
44-45,pointcloud_0180.pcd,pointcloud_0176.pcd,0.9393286110255621,0.021821612916316093,0.9393286110255621,0.021821612916316093,0.9402525408068987,0.019874353984002568
45-46,pointcloud_0184.pcd,pointcloud_0180.pcd,0.9442781962645754,0.022247949824493338,0.9442781962645754,0.022247949824493338,0.9504695077907337,0.020800532836489662
46-47,pointcloud_0188.pcd,pointcloud_0184.pcd,0.9548872180451128,0.020055398968945922,0.9548872180451128,0.020055398968945922,0.9543722319497373,0.019377765536969755
47-48,pointcloud_0192.pcd,pointcloud_0188.pcd,0.938817270308983,0.01899288120748238,0.938817270308983,0.018992881207482378,0.9390218948229998,0.01900326823014458
48-49,pointcloud_0196.pcd,pointcloud_0192.pcd,0.9606117745652629,0.019034595144264498,0.9606117745652629,0.019034595144264498,0.9600879949717159,0.018258057279649072
49-50,pointcloud_0200.pcd,pointcloud_0196.pcd,0.9406814449917899,0.01947093691917191,0.9406814449917899,0.01947093691917191,0.9409893267651889,0.019394497682040397
50-51,pointcloud_0204.pcd,pointcloud_0200.pcd,0.9477833521040238,0.01984406781678696,0.9477833521040238,0.01984406781678696,0.9486024367769018,0.01884367748405144
51-52,pointcloud_0208.pcd,pointcloud_0204.pcd,0.9451856448443479,0.02078735606129178,0.9451856448443479,0.02078735606129178,0.9467369945185645,0.018778582355429323
52-53,pointcloud_0212.pcd,pointcloud_0208.pcd,0.9572314049586776,0.018849143125279685,0.9572314049586776,0.018849143125279685,0.9565082644628099,0.018280707991277463
53-54,pointcloud_0216.pcd,pointcloud_0212.pcd,0.946794278069363,0.01809697389828411,0.946794278069363,0.018096973898284106,0.9471030153339508,0.018125731994507416
54-55,pointcloud_0220.pcd,pointcloud_0216.pcd,0.952695724023962,0.01842825444680784,0.952695724023962,0.01842825444680784,0.9518694484610618,0.0182859051124416
55-56,pointcloud_0224.pcd,pointcloud_0220.pcd,0.943670690188796,0.01941074676612766,0.943670690188796,0.019410746766127664,0.9473847106159083,0.01865486417790568
56-57,pointcloud_0228.pcd,pointcloud_0224.pcd,0.958226681683219,0.019305408086923128,0.958226681683219,0.019305408086923128,0.9583290672673288,0.01796966660156908
57-58,pointcloud_0232.pcd,pointcloud_0228.pcd,0.9381549208958291,0.019575578540497265,0.9381549208958291,0.019575578540497265,0.9391822477912471,0.0194680543611423
58-59,pointcloud_0236.pcd,pointcloud_0232.pcd,0.9489795918367347,0.01918221062331857,0.9489795918367347,0.01918221062331857,0.9487755102040817,0.018954353730276454
59-60,pointcloud_0240.pcd,pointcloud_0236.pcd,0.9520770010131713,0.02041850524194535,0.9520770010131713,0.020418505241945353,0.9534954407294833,0.019531125342566753
60-61,pointcloud_0244.pcd,pointcloud_0240.pcd,0.9575529315960912,0.020440156703491138,0.9575529315960912,0.020440156703491138,0.9598941368078175,0.018858128685179797
61-62,pointcloud_0248.pcd,pointcloud_0244.pcd,0.9528032619775739,0.018587310985937352,0.9528032619775739,0.018587310985937352,0.9543323139653415,0.018685858732158826
62-63,pointcloud_0252.pcd,pointcloud_0248.pcd,0.9531582682753726,0.018724605512278714,0.9531582682753726,0.018724605512278714,0.9551860488695123,0.018782560868594766
63-64,pointcloud_0256.pcd,pointcloud_0252.pcd,0.950616026881173,0.02152763951103603,0.950616026881173,0.02152763951103603,0.9522451888809693,0.019514966645377534
64-65,pointcloud_0260.pcd,pointcloud_0256.pcd,0.9600974718245507,0.019906734909902708,0.9600974718245507,0.019906734909902708,0.9614174027820084,0.01940461609093479
65-66,pointcloud_0264.pcd,pointcloud_0260.pcd,0.9418497700562085,0.019343046751699924,0.9418497700562085,0.019343046751699924,0.943587123147675,0.019243299364893385
66-67,pointcloud_0268.pcd,pointcloud_0264.pcd,0.9470618293306081,0.01965276438142609,0.9470618293306081,0.019652764381426092,0.9468574348492591,0.018984535902924857
67-68,pointcloud_0272.pcd,pointcloud_0268.pcd,0.9507013201320133,0.020678885164445295,0.9507013201320133,0.020678885164445295,0.95503300330033,0.01898045095084162
68-69,pointcloud_0276.pcd,pointcloud_0272.pcd,0.9529787015125013,0.02066287805047649,0.9529787015125013,0.02066287805047649,0.9569914600267517,0.018946817883300052
69-70,pointcloud_0280.pcd,pointcloud_0276.pcd,0.9493774239640743,0.019689963602563212,0.9493774239640743,0.019689963602563212,0.9505001020616453,0.019041938084186135
70-71,pointcloud_0284.pcd,pointcloud_0280.pcd,0.9449186991869919,0.0211790572589467,0.9449186991869919,0.0211790572589467,0.9436991869918699,0.019295932847638687
71-72,pointcloud_0288.pcd,pointcloud_0284.pcd,0.9506008010680908,0.020140564852612505,0.9506008010680908,0.020140564852612508,0.9525521207764198,0.019413104749916626
72-73,pointcloud_0292.pcd,pointcloud_0288.pcd,0.9545778592524697,0.020881501167039476,0.9545778592524697,0.020881501167039476,0.9583460637539464,0.01886062393352662
73-74,pointcloud_0296.pcd,pointcloud_0292.pcd,0.9540229885057471,0.020951753268797564,0.9540229885057471,0.020951753268797564,0.9549466338259441,0.01859622398111766
74-75,pointcloud_0300.pcd,pointcloud_0296.pcd,0.9475839475839476,0.02160575260139808,0.9475839475839476,0.02160575260139808,0.9463554463554463,0.018499155065026154
75-76,pointcloud_0304.pcd,pointcloud_0300.pcd,0.9502078896663625,0.020396937915536605,0.9502078896663625,0.020396937915536605,0.9488895649528445,0.019093750063066378
76-77,pointcloud_0308.pcd,pointcloud_0304.pcd,0.9577951794976101,0.019427875974924593,0.9577951794976101,0.019427875974924593,0.96003254347605,0.019117608757311416
