pair,source,target,initial_fitness,initial_rmse,final_fitness,final_rmse,improvement_fitness,improvement_rmse
20-21,pointcloud_0084.pcd,pointcloud_0080.pcd,0.0,0.0,0.0,0.0,0.0,0.0
21-22,pointcloud_0088.pcd,pointcloud_0084.pcd,0.00010178117048346055,0.007756861313847986,0.0003053435114503817,0.004752388944719577,0.00020356234096692113,0.0030044723691284095
22-23,pointcloud_0092.pcd,pointcloud_0088.pcd,0.0,0.0,0.0,0.0,0.0,0.0
23-24,pointcloud_0096.pcd,pointcloud_0092.pcd,0.00020408163265306123,0.009510797244718587,0.00020408163265306123,0.004596941086471658,0.0,0.004913856158246929
24-25,pointcloud_0100.pcd,pointcloud_0096.pcd,0.00020362451639177357,0.009288220878868776,0.00040724903278354713,0.005753350250611108,0.00020362451639177357,0.003534870628257668
25-26,pointcloud_0104.pcd,pointcloud_0100.pcd,0.00040535062829347385,0.007322011047135025,0.0011147142278070531,0.006505519972842411,0.0007093635995135793,0.0008164910742926136
26-27,pointcloud_0108.pcd,pointcloud_0104.pcd,0.00010118385105737125,0.004570011777464739,0.00010118385105737125,0.0,0.0,0.004570011777464739
27-28,pointcloud_0112.pcd,pointcloud_0108.pcd,0.00020527558246946525,0.006115671048134813,0.00020527558246946525,0.003427247657874307,0.0,0.0026884233902605055
28-29,pointcloud_0116.pcd,pointcloud_0112.pcd,0.00010186411327289395,0.002769715508890024,0.00010186411327289395,0.0,0.0,0.002769715508890024
29-30,pointcloud_0120.pcd,pointcloud_0116.pcd,0.00010210332856851133,0.004890145826345155,0.00010210332856851133,0.0,0.0,0.004890145826345155
30-31,pointcloud_0124.pcd,pointcloud_0120.pcd,0.0,0.0,0.0,0.0,0.0,0.0
31-32,pointcloud_0128.pcd,pointcloud_0124.pcd,0.0001023122570083896,0.009225243748721593,0.0001023122570083896,0.0,0.0,0.009225243748721593
32-33,pointcloud_0132.pcd,pointcloud_0128.pcd,0.00010237510237510238,0.0076708290365983456,0.00010237510237510238,0.0,0.0,0.0076708290365983456
33-34,pointcloud_0136.pcd,pointcloud_0132.pcd,0.0,0.0,0.0,0.0,0.0,0.0
34-35,pointcloud_0140.pcd,pointcloud_0136.pcd,0.0003053435114503817,0.006617285957978452,0.0003053435114503817,0.002801594045727916,0.0,0.0038156919122505364
35-36,pointcloud_0144.pcd,pointcloud_0140.pcd,0.00010107135637760258,0.00746436318378778,0.00030321406913280777,0.0019789720084027957,0.0002021427127552052,0.005485391175384984
36-37,pointcloud_0148.pcd,pointcloud_0144.pcd,0.0,0.0,0.0,0.0,0.0,0.0
37-38,pointcloud_0152.pcd,pointcloud_0148.pcd,0.00020335536349771224,0.007809824241584178,0.0004067107269954245,0.004133717421952596,0.00020335536349771224,0.0036761068196315815
38-39,pointcloud_0156.pcd,pointcloud_0152.pcd,0.00020454080589077522,0.008387511467391294,0.0003068112088361628,0.002975214258832272,0.0001022704029453876,0.005412297208559022
39-40,pointcloud_0160.pcd,pointcloud_0156.pcd,0.00030902348578491963,0.007641206650744563,0.00030902348578491963,0.005144378128742333,0.0,0.002496828522002229
40-41,pointcloud_0164.pcd,pointcloud_0160.pcd,0.0006157003591585428,0.006383179216375481,0.0013340174448435095,0.006505482628976087,0.0007183170856849667,-0.00012230341260060628
41-42,pointcloud_0168.pcd,pointcloud_0164.pcd,0.0,0.0,0.0,0.0,0.0,0.0
42-43,pointcloud_0172.pcd,pointcloud_0168.pcd,0.00010217635639113109,0.005545178057837895,0.0003065290691733933,0.0012815415619882304,0.0002043527127822622,0.004263636495849665
43-44,pointcloud_0176.pcd,pointcloud_0172.pcd,0.00020588840848260242,0.007762710222609634,0.0005147210212065061,0.00551341040237138,0.0003088326127239036,0.002249299820238254
44-45,pointcloud_0180.pcd,pointcloud_0176.pcd,0.0001026588645929576,0.008988896593618682,0.0001026588645929576,0.0,0.0,0.008988896593618682
45-46,pointcloud_0184.pcd,pointcloud_0180.pcd,0.0,0.0,0.0,0.0,0.0,0.0
46-47,pointcloud_0188.pcd,pointcloud_0184.pcd,0.0010299721907508497,0.007730198881312856,0.0020599443815016993,0.006777673730853108,0.0010299721907508497,0.000952525150459748
