pair_index,source_file,target_file,ransac_init_fitness,ransac_init_rmse,icp_initial_fitness,icp_initial_rmse,icp_final_fitness,icp_final_rmse,status
36-37,pointcloud_0148.pcd,pointcloud_0144.pcd,0.0,-1.0,0.5944653576152202,0.05127741294581246,0.9822972835486825,0.024698914352600836,Success
37-38,pointcloud_0152.pcd,pointcloud_0148.pcd,0.0,-1.0,0.588002033553635,0.05159959969653127,0.9835282155566853,0.023954622036279037,Success
38-39,pointcloud_0156.pcd,pointcloud_0152.pcd,0.0,-1.0,0.6006340764982614,0.051761016344275566,0.9847617099611372,0.0240111587490449,Success
39-40,pointcloud_0160.pcd,pointcloud_0156.pcd,0.0,-1.0,0.592295014421096,0.051728783966550305,0.9880510918829831,0.022652401434939448,Success
40-41,pointcloud_0164.pcd,pointcloud_0160.pcd,0.0,-1.0,0.6004104669061057,0.05162812869849077,0.9862493586454593,0.023404112920697197,Success
41-42,pointcloud_0168.pcd,pointcloud_0164.pcd,0.0,-1.0,0.5895005096839959,0.05152429236730232,0.989704383282365,0.022056989693451913,Success
42-43,pointcloud_0172.pcd,pointcloud_0168.pcd,0.0,-1.0,0.5979360376008992,0.05144092637774612,0.9891693062225401,0.023385892315303056,Success
43-44,pointcloud_0176.pcd,pointcloud_0172.pcd,0.0,-1.0,0.5815318097591106,0.051601375720015386,0.9876466954910439,0.023275757628611123,Success
44-45,pointcloud_0180.pcd,pointcloud_0176.pcd,0.0,-1.0,0.5958320500975259,0.051848062389352606,0.9842931937172775,0.024077913844821382,Success
45-46,pointcloud_0184.pcd,pointcloud_0180.pcd,0.0,-1.0,0.9780208440821381,0.036386922711756066,0.9878237539985554,0.024077306819863583,Success
46-47,pointcloud_0188.pcd,pointcloud_0184.pcd,0.0,-1.0,0.8713564733752188,0.04983861108742047,0.987949325368215,0.02273703943471475,Success
47-48,pointcloud_0192.pcd,pointcloud_0188.pcd,0.0,-1.0,0.846122365459382,0.050349930721558196,0.9822999795375486,0.023518927061998263,Success
48-49,pointcloud_0196.pcd,pointcloud_0192.pcd,0.0,-1.0,0.8379425937565472,0.05025066225256629,0.9915147705845381,0.021675673952351544,Success
49-50,pointcloud_0200.pcd,pointcloud_0196.pcd,0.0,-1.0,0.8469827586206896,0.05081883680463955,0.9824507389162561,0.02352262619637347,Success
50-51,pointcloud_0204.pcd,pointcloud_0200.pcd,0.0,-1.0,0.873860960376779,0.04990871609896732,0.9879185010750486,0.02292533450996942,Success
51-52,pointcloud_0208.pcd,pointcloud_0204.pcd,0.0,-1.0,0.8319371186265384,0.049629715587715915,0.9820043437790879,0.02260374948261802,Success
52-53,pointcloud_0212.pcd,pointcloud_0208.pcd,0.0,-1.0,0.8391528925619834,0.04994936878096765,0.990392561983471,0.02201775690153879,Success
53-54,pointcloud_0216.pcd,pointcloud_0212.pcd,0.0,-1.0,0.8524235875270145,0.05045978367912053,0.9854893485643718,0.0224300007027567,Success
